date,saham,volume
2021-01-15,ACES,18854300.0
2021-01-18,ACES,16377200.0
2021-01-19,ACES,10440000.0
2021-01-20,ACES,18208900.0
2021-01-21,ACES,19507200.0
2021-01-22,ACES,38144400.0
2021-01-25,ACES,34318400.0
2021-01-26,ACES,43544900.0
2021-01-27,ACES,25823300.0
2021-01-28,ACES,28645200.0
2021-01-29,ACES,53677300.0
2021-02-01,ACES,31547000.0
2021-02-02,ACES,37090800.0
2021-02-03,ACES,33377000.0
2021-02-04,ACES,9568200.0
2021-02-05,ACES,6336400.0
2021-02-08,ACES,16629000.0
2021-02-09,ACES,10913200.0
2021-02-10,ACES,57303900.0
2021-02-11,ACES,36443800.0
2021-02-15,ACES,38047400.0
2021-02-16,ACES,19289500.0
2021-02-17,ACES,29324400.0
2021-02-18,ACES,24290600.0
2021-02-19,ACES,17151700.0
2021-02-22,ACES,11130100.0
2021-02-23,ACES,9434200.0
2021-02-24,ACES,21364800.0
2021-02-25,ACES,81287600.0
2021-02-26,ACES,508142300.0
2021-03-01,ACES,123763800.0
2021-03-02,ACES,127733300.0
2021-03-03,ACES,107829200.0
2021-03-04,ACES,44768800.0
2021-03-05,ACES,47689400.0
2021-03-08,ACES,29676300.0
2021-03-09,ACES,52649200.0
2021-03-10,ACES,23717500.0
2021-03-12,ACES,26011100.0
2021-03-15,ACES,17443800.0
2021-03-16,ACES,14258600.0
2021-03-17,ACES,46266300.0
2021-03-18,ACES,72322100.0
2021-03-19,ACES,58570800.0
2021-03-22,ACES,27486100.0
2021-03-23,ACES,12456900.0
2021-03-24,ACES,13524100.0
2021-03-25,ACES,8214200.0
2021-03-26,ACES,30175000.0
2021-03-29,ACES,17957300.0
2021-03-30,ACES,17152000.0
2021-03-31,ACES,17086300.0
2021-04-01,ACES,9494900.0
2021-04-05,ACES,5709300.0
2021-04-06,ACES,8809900.0
2021-04-07,ACES,6309900.0
2021-04-08,ACES,34521000.0
2021-04-09,ACES,25913700.0
2021-04-12,ACES,47686400.0
2021-04-13,ACES,47450800.0
2021-04-14,ACES,54858200.0
2021-04-15,ACES,37056900.0
2021-04-16,ACES,41022300.0
2021-04-19,ACES,22699900.0
2021-04-20,ACES,20391600.0
2021-04-21,ACES,8010300.0
2021-04-22,ACES,8831200.0
2021-04-23,ACES,11397600.0
2021-04-26,ACES,11618200.0
2021-04-27,ACES,18636700.0
2021-04-28,ACES,22368900.0
2021-04-29,ACES,14383400.0
2021-04-30,ACES,8166300.0
2021-05-03,ACES,6528800.0
2021-05-04,ACES,19214300.0
2021-05-05,ACES,8635000.0
2021-05-06,ACES,7392900.0
2021-05-07,ACES,10492700.0
2021-05-10,ACES,5610700.0
2021-05-11,ACES,7220900.0
2021-05-17,ACES,15053800.0
2021-05-18,ACES,7347200.0
2021-05-19,ACES,8036500.0
2021-05-20,ACES,9333600.0
2021-05-21,ACES,4994400.0
2021-05-22,ACES,5015100.0
2021-05-24,ACES,2431200.0
2021-05-25,ACES,7555800.0
2021-05-27,ACES,13263700.0
2021-05-28,ACES,15669000.0
2021-05-31,ACES,11478300.0
2021-06-02,ACES,21066800.0
2021-06-03,ACES,12186800.0
2021-06-04,ACES,15443100.0
2021-06-07,ACES,10050300.0
2021-06-08,ACES,11478000.0
2021-06-09,ACES,28795600.0
2021-06-10,ACES,17619800.0
2021-06-11,ACES,10206800.0
2021-06-14,ACES,21241400.0
2021-06-15,ACES,16966200.0
2021-06-16,ACES,14166100.0
2021-06-17,ACES,16680300.0
2021-06-18,ACES,25611100.0
2021-06-21,ACES,22596200.0
2021-06-22,ACES,6466900.0
2021-06-23,ACES,7662300.0
2021-06-24,ACES,15280700.0
2021-06-25,ACES,15335300.0
2021-06-28,ACES,12189000.0
2021-06-29,ACES,16776000.0
2021-06-30,ACES,22473700.0
2021-07-01,ACES,6239200.0
2021-07-02,ACES,24455000.0
2021-07-05,ACES,20959300.0
2021-07-06,ACES,27145900.0
2021-07-07,ACES,42670900.0
2021-07-08,ACES,28250200.0
2021-07-09,ACES,10635900.0
2021-07-12,ACES,16613800.0
2021-07-13,ACES,6458700.0
2021-07-14,ACES,25243100.0
2021-07-15,ACES,12954500.0
2021-07-16,ACES,17283800.0
2021-07-19,ACES,14136200.0
2021-07-21,ACES,11152600.0
2021-07-22,ACES,20749300.0
2021-07-23,ACES,8447700.0
2021-07-26,ACES,10598000.0
2021-07-27,ACES,13704700.0
2021-07-28,ACES,10673900.0
2021-07-29,ACES,29077100.0
2021-07-30,ACES,14713000.0
2021-08-02,ACES,9038000.0
2021-08-03,ACES,57143900.0
2021-08-04,ACES,64604200.0
2021-08-05,ACES,20376200.0
2021-08-06,ACES,6970300.0
2021-08-09,ACES,7324500.0
2021-08-10,ACES,40536900.0
2021-08-12,ACES,25647800.0
2021-08-13,ACES,14008700.0
